,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Old_Dialogue_ID,Old_Utterance_ID,Season,Episode,StartTime,EndTime
46,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,4,4,3,6,3,12,"00:10:29,754","00:10:32,672"
47,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,4,5,3,8,3,12,"00:10:36,385","00:10:39,137"
48,Done.,Joey,neutral,4,6,3,9,3,12,"00:10:39,680","00:10:41,181"
49,Hey!,Rachel,surprise,5,0,4,0,3,11,"0:20:23,931","0:20:24,891"
50,Hi!,Ross,joy,5,1,4,1,3,11,"0:20:24,891","0:20:25,028"
51,What are you doing here?,Rachel,surprise,5,2,4,2,3,11,"00:20:25,140","00:20:26,265"
52,"Ah y'know, this building is on my paper route so I...",Ross,neutral,5,3,4,3,3,11,"00:20:26,433","00:20:29,185"
53,Oh.,Rachel,neutral,5,4,4,4,3,11,"0:20:29,394","0:20:30,771"
54,Hi.,Ross,neutral,5,5,4,5,3,11,"0:20:30,771","0:20:30,873"
55,Hi.,Rachel,neutral,5,6,4,6,3,11,"0:20:30,873","0:20:31,135"
56,How’d did it go?,Ross,neutral,5,7,4,7,3,11,"00:20:31,188","00:20:32,230"
57,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,joy,5,8,4,8,3,11,"00:20:32,397","00:20:40,446"
58,I’m so proud of you.,Ross,joy,5,9,4,9,3,11,"0:20:40,614","0:20:41,991"
59,Me too!,Rachel,joy,5,10,4,10,3,11,"0:20:41,991","0:20:43,543"
60,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,sadness,5,11,4,11,3,11,"00:20:44,284","00:20:53,584"
61,I know.,Rachel,neutral,5,12,4,12,3,11,"00:20:53,752","00:20:54,794"
62,Yeah.,Ross,neutral,5,13,4,13,3,11,"0:20:54,962","0:20:55,380"
63,Yeah.,Rachel,neutral,5,14,4,14,3,11,"0:20:55,380","0:20:56,057"
64,Ameri-can.,Phoebe,neutral,6,0,5,0,3,15,"0:22:18,545","0:22:20,297"
65,Ameri-ccan.,Joey,neutral,6,1,5,1,3,15,"0:22:20,297","0:22:20,476"
66,Ameri-can. Y'know it’s a,Phoebe,neutral,6,2,5,2,3,15,"00:22:20,589","00:22:23,507"
67,Ameri-can. Y'know it’s a,Phoebe,neutral,7,0,5,2,3,15,"00:22:20,589","00:22:23,507"
68,Everybody!!,Sergei,surprise,7,1,5,3,3,15,"00:22:25,844","00:22:28,679"
69,Good job Joe! Well done! Top notch!,Chandler,joy,8,0,6,0,8,22,"00:12:24,315","00:12:27,526"
70,You liked it? You really liked it?,Joey,surprise,8,1,6,1,8,22,"0:12:28,194","0:12:29,796"
71,"Oh-ho-ho, yeah!",Chandler,joy,8,2,6,2,8,22,"0:12:29,796","0:12:31,501"
72,Which part exactly?,Joey,neutral,8,3,6,3,8,22,"0:12:31,655","0:12:33,657"
73,The whole thing! Can we go?,Chandler,neutral,8,4,6,4,8,22,"0:12:33,657","0:12:36,243"
74,"Oh no-no-no, give me some specifics.",Joey,anger,8,5,6,5,8,22,"00:12:36,368","00:12:38,746"
75,"I love the specifics, the specifics were the best part!",Chandler,joy,8,6,6,6,8,22,"00:12:38,954","00:12:43,000"
76,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,8,7,6,7,8,22,"00:12:43,209","00:12:48,255"
77,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,8,8,6,8,8,22,"00:12:49,298","00:12:54,929"
78,You fell asleep!!,Joey,anger,8,9,6,9,8,22,"00:12:55,930","00:12:56,931"
79,There was no kangaroo!,Joey,anger,8,10,6,10,8,22,"0:12:58,432","0:12:59,809"
80,They didn’t take any of my suggestions!,Joey,anger,8,11,6,11,8,22,"0:12:59,809","0:13:03,196"
81,That’s for coming buddy.,Joey,neutral,8,12,6,12,8,22,"0:13:05,940","0:13:07,242"
82,I’ll see you later.,Joey,neutral,8,13,6,13,8,22,"0:13:07,242","0:13:08,202"
83,Don’t go!,Chandler,sadness,8,14,6,14,8,22,"0:13:08,202","0:13:08,804"
84,I’m sorry.,Chandler,sadness,8,15,6,15,8,22,"0:13:08,804","0:13:09,526"
85,I’m so sorry!,Chandler,sadness,8,16,6,16,8,22,"0:13:09,526","0:13:10,832"
86,Look!,Chandler,surprise,8,17,6,17,8,22,"0:13:10,945","0:13:11,407"
87,This guy fell asleep!,Chandler,anger,8,18,6,18,8,22,"0:13:11,407","0:13:12,589"
88,He fell asleep too!,Chandler,anger,8,19,6,19,8,22,"0:13:12,589","0:13:13,215"
89,Be mad at him!,Chandler,anger,8,20,6,20,8,22,"0:13:13,215","0:13:14,108"
90,"Or, call an ambulance.",Chandler,anger,8,21,6,21,8,22,"00:13:16,367","00:13:18,244"
91,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,9,0,7,0,6,9,"00:12:51,020","00:12:53,897"
92,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,anger,9,1,7,1,6,9,"00:12:54,106","00:12:58,193"
93,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,10,0,8,0,6,23,"00:19:17,865","00:19:21,951"
94,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,10,1,8,1,6,23,"00:19:17,865","00:19:25,204"
95,"Okay, that’s enough honey!",Chandler,neutral,10,2,8,2,6,23,"00:19:25,372","00:19:26,706"
96,"Okay, that’s enough honey!",Chandler,neutral,11,0,8,2,6,23,"00:19:25,372","00:19:26,706"
97,I don’t know.  Let me see the ring.,Customer,neutral,11,1,8,3,6,23,"00:19:28,375","00:19:34,964"
98,"Great! Okay, here.",Chandler,joy,11,2,8,4,6,23,"00:19:32,129","00:19:34,964"
99,All right.,Customer,neutral,11,3,8,5,6,23,"0:19:37,342","0:19:39,934"
100,Thank you. Thank you. Thank you!  And,Chandler,joy,11,4,8,6,6,23,"0:19:39,934","0:19:40,074"
101,What've you been up to?,Chandler,neutral,12,0,9,0,2,5,"00:01:51,903","00:01:54,738"
102,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,12,1,9,1,2,5,"00:01:54,948","00:02:01,203"
103,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,12,2,9,2,2,5,"00:02:01,621","00:02:07,459"
104,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,12,3,9,3,2,5,"00:02:10,547","00:02:14,758"
105,I'm back.,Chandler,neutral,12,4,9,5,2,5,"0:02:16,261","0:02:16,903"
106,"So, are we gonna get together or what?",Jade,neutral,12,5,9,6,2,5,"0:02:16,903","0:02:19,185"
107,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,12,6,9,7,2,5,"00:02:19,347","00:02:25,561"
108,"Great, I'll see you then.",Jade,neutral,12,7,9,8,2,5,"00:02:25,770","00:02:28,647"
109,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,12,8,9,9,2,5,"00:02:32,318","00:02:34,528"
110,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,13,0,9,3,2,5,"00:02:10,547","00:02:14,758"
111,I know.,Ross,neutral,13,1,9,4,2,5,"00:02:13,091","00:02:14,758"
112,I'm back.,Chandler,neutral,13,2,9,5,2,5,"0:02:16,261","0:02:16,903"
113,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,13,3,9,9,2,5,"00:02:32,318","00:02:34,528"
114,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,13,4,9,10,2,5,"00:02:36,823","00:02:43,620"
115,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,13,5,9,11,2,5,"00:02:47,375","00:02:52,337"
116,Oh my god. You are pure evil.,Ross,disgust,13,6,9,12,2,5,"00:02:52,547","00:02:55,299"
117,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,13,7,9,13,2,5,"00:02:56,634","00:03:05,058"
118,Nobody!,Phoebe,anger,14,0,10,0,5,10,"0:11:57,091","0:11:58,551"
119,Nobody respects the bucket!,Phoebe,anger,14,1,10,1,5,10,"0:11:58,551","0:11:59,947"
120,You wouldn't believe what people put in here!,Phoebe,anger,14,2,10,2,5,10,"00:12:00,553","00:12:02,721"
121,Look!,Phoebe,anger,14,3,10,3,5,10,"00:12:02,888","00:12:04,597"
122,"Okay, does this look like a garbage can to you?",Phoebe,anger,14,4,10,4,5,10,"00:12:02,888","00:12:07,016"
123,No.,Monica,neutral,14,5,10,5,5,10,"00:12:04,765","00:12:07,016"
124,This is my wedding.,Ross,neutral,15,0,11,0,4,23,"00:03:10,815","00:03:12,024"
125,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",Monica,anger,15,1,11,1,4,23,"00:03:13,318","00:03:16,737"
126,Fine. You’ll-you’ll watch it on video when we get back.,Ross,neutral,15,2,11,2,4,23,"00:03:18,781","00:03:21,491"
127,Fine. You’ll-you’ll watch it on video when we get back.,Ross,neutral,16,0,11,2,4,23,"00:03:18,781","00:03:21,491"
128,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,16,1,11,3,4,23,"00:03:22,869","00:03:25,704"
129,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,17,0,11,3,4,23,"00:03:22,869","00:03:25,704"
130,Thank you.,Phoebe,neutral,17,1,11,4,4,23,"0:03:27,790","0:03:28,791"
131,Thank you.,Phoebe,neutral,17,2,11,5,4,23,"0:03:28,791","0:03:28,931"
132,Thank you.,Phoebe,neutral,18,0,11,4,4,23,"0:03:27,790","0:03:28,791"
133,Thank you.,Phoebe,neutral,18,1,11,5,4,23,"0:03:28,791","0:03:28,931"
134,"All right, let’s go! Bye, Pheebs!",Ross,joy,18,2,11,6,4,23,"00:03:32,503","00:03:34,463"
135,"All right, let’s go! Bye, Pheebs!",Ross,joy,19,0,11,6,4,23,"00:03:32,503","00:03:34,463"
136,"Bye, Pheebs!",Joey,joy,19,1,11,7,4,23,"00:03:34,631","00:03:36,340"
137,London baby!!,Joey,joy,19,2,11,8,4,23,"00:03:40,803","00:03:42,554"
138,Thank you.,Phoebe,neutral,20,0,11,4,4,23,"0:03:27,790","0:03:28,791"
139,Thank you.,Phoebe,neutral,20,1,11,5,4,23,"0:03:28,791","0:03:28,931"
140,"Bye, Pheebs!",Joey,joy,20,2,11,7,4,23,"00:03:34,631","00:03:36,340"
141,London baby!!,Joey,joy,20,3,11,8,4,23,"00:03:40,803","00:03:42,554"
142,"Oh, do you need a hug? You don’t have to bring me anything!",Phoebe,joy,20,4,11,9,4,23,"00:03:44,849","00:03:51,563"
143,Hey!,Chandler,neutral,21,0,12,0,6,4,"00:09:47,295","00:09:49,045"
144,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Joey,joy,21,1,12,1,6,4,"00:09:47,295","00:09:56,177"
145,"That’s great, but shouldn’t you be on the toilet right now?",Chandler,disgust,21,2,12,2,6,4,"00:09:57,346","00:10:00,890"
146,What?!,Joey,surprise,21,3,12,3,6,4,"0:10:04,312","0:10:05,647"
147,What’s wrong with you?,Chandler,disgust,21,4,12,4,6,4,"0:10:05,647","0:10:06,929"
148,Nothing!,Joey,neutral,21,5,12,5,6,4,"00:10:07,023","00:10:08,023"
149,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",Joey,fear,21,6,12,6,6,4,"00:10:08,190","00:10:18,575"
150,"But um, I don’t think it’s anything serious.",Joey,neutral,21,7,12,7,6,4,"00:10:18,743","00:10:21,536"
151,This sounds like a hernia. You have to—you-you go to the doctor!,Chandler,surprise,21,8,12,8,6,4,"00:10:21,704","00:10:24,706"
152,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",Joey,fear,21,9,12,9,6,4,"00:10:24,874","00:10:31,463"
153,That’s a hernia.,Chandler,disgust,21,10,12,10,6,4,"00:10:34,842","00:10:36,009"
154,Why did I have to start working out again?  Damn you 15s!,Joey,anger,21,11,12,11,6,4,"00:10:36,177","00:10:41,556"
155,I love your place! Where is this guy from?,Mona,joy,22,0,13,0,8,8,"00:10:36,844","00:10:40,930"
156,Uh that’s an eighteenth century Indian artifact from Calcutta.,Ross,neutral,22,1,13,1,8,8,"00:10:41,098","00:10:50,899"
157,"Oh wow! So, you’re more than just dinosaurs.",Mona,surprise,22,2,13,2,8,8,"00:10:44,894","00:10:50,899"
158,So much more.,Ross,neutral,22,3,13,3,8,8,"00:10:51,567","00:10:53,485"
159,"Well, well to sum up, we’re having fun, you look young.",Ross,neutral,23,0,14,0,8,11,"00:13:42,112","00:13:53,456"
160,Okay,Mona,neutral,23,1,14,1,8,11,"00:13:57,253","00:14:00,171"
161,But that’s not enough. So… So…here’s a key to my apartment.,Ross,neutral,23,2,14,2,8,11,"00:13:57,253","00:14:06,135"
162,Really?!,Mona,surprise,23,3,14,3,8,11,"0:14:12,184","0:14:14,986"
163,Really.,Ross,neutral,23,4,14,4,8,11,"0:14:14,986","0:14:15,320"
164,You don’t think this is too fast.,Mona,neutral,23,5,14,5,8,11,"00:14:16,897","00:14:20,316"
165,Get Out!,Ross,anger,24,0,15,0,9,23,"00:42:09,652","00:42:13,488"
166,"Ross, can I talk to you for a minute?",Charlie,neutral,24,1,15,1,9,23,"00:42:15,032","00:42:16,908"
167,"Yes, please!  So, what's going on?",Ross,neutral,24,2,15,2,9,23,"00:42:17,117","00:42:23,998"
168,"Uh, well... Joey and I broke up.",Charlie,sadness,24,3,15,3,9,23,"00:42:26,126","00:42:29,754"
169,"Oh my God, wh-what happened?",Ross,surprise,24,4,15,4,9,23,"00:42:30,464","00:42:35,885"
170,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,24,5,15,5,9,23,"00:42:36,053","00:42:44,561"
171,I knew that was him!,Ross,anger,24,6,15,6,9,23,"00:42:42,059","00:42:44,561"
172,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,24,7,15,7,9,23,"00:42:46,313","00:42:50,108"
173,"Hey, you ok?",Ross,neutral,24,8,15,8,9,23,"0:42:51,068","0:42:52,950"
174,I guess.,Charlie,sadness,24,9,15,9,9,23,"0:42:52,950","0:42:55,208"
175,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,24,10,15,10,9,23,"00:42:57,866","00:43:05,915"
176,I started to realize that I was having feelings for someone  else.,Charlie,neutral,24,11,15,11,9,23,"00:43:06,667","00:43:12,547"
177,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,24,12,15,13,9,23,"00:43:19,388","00:43:22,765"
178,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,24,13,15,14,9,23,"0:43:22,933","0:43:24,905"
179,"Ok, gentlemen!",Ross,anger,24,14,15,16,9,23,"0:43:27,187","0:43:28,147"
180,Please!,Ross,anger,24,15,15,17,9,23,"0:43:28,147","0:43:28,699"
181,Aren't we a little old for this?,Ross,anger,24,16,15,18,9,23,"0:43:28,699","0:43:30,985"
182,"I mean, we're scientists, right?",Ross,neutral,24,17,15,19,9,23,"0:43:31,066","0:43:32,788"
183,We're academics.,Ross,anger,24,18,15,20,9,23,"0:43:32,788","0:43:33,798"
184,And most importantly I... you-you will have to catch us first.,Ross,joy,24,19,15,21,9,23,"00:43:33,902","00:43:37,780"
185,"GO, GO, GO!",Ross,joy,24,20,15,22,9,23,"00:43:37,948","00:43:40,366"
186,I guess.,Charlie,sadness,25,0,15,9,9,23,"0:42:52,950","0:42:55,208"
187,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,25,1,15,10,9,23,"00:42:57,866","00:43:05,915"
188,I started to realize that I was having feelings for someone  else.,Charlie,neutral,25,2,15,11,9,23,"00:43:06,667","00:43:12,547"
189,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,25,3,15,12,9,23,"00:43:14,174","00:43:19,220"
190,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,26,0,15,12,9,23,"00:43:14,174","00:43:19,220"
191,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,26,1,15,13,9,23,"00:43:19,388","00:43:22,765"
192,"Ok, gentlemen!",Ross,anger,26,2,15,16,9,23,"0:43:27,187","0:43:28,147"
193,Please!,Ross,anger,26,3,15,17,9,23,"0:43:28,147","0:43:28,699"
194,Aren't we a little old for this?,Ross,anger,26,4,15,18,9,23,"0:43:28,699","0:43:30,985"
195,"I mean, we're scientists, right?",Ross,neutral,26,5,15,19,9,23,"0:43:31,066","0:43:32,788"
196,We're academics.,Ross,anger,26,6,15,20,9,23,"0:43:32,788","0:43:33,798"
197,And most importantly I... you-you will have to catch us first.,Ross,joy,26,7,15,21,9,23,"00:43:33,902","00:43:37,780"
198,"GO, GO, GO!",Ross,joy,26,8,15,22,9,23,"00:43:37,948","00:43:40,366"
199,I guess.,Charlie,sadness,27,0,15,9,9,23,"0:42:52,950","0:42:55,208"
200,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,27,1,15,10,9,23,"00:42:57,866","00:43:05,915"
201,I started to realize that I was having feelings for someone  else.,Charlie,neutral,27,2,15,11,9,23,"00:43:06,667","00:43:12,547"
202,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,27,3,15,14,9,23,"0:43:22,933","0:43:24,905"
203,Or we could throw you both in,Professore Clerk,joy,27,4,15,15,9,23,"0:43:24,905","0:43:27,073"
204,Or we could throw you both in,Professore Clerk,joy,28,0,15,15,9,23,"0:43:24,905","0:43:27,073"
205,"Ok, gentlemen!",Ross,anger,28,1,15,16,9,23,"0:43:27,187","0:43:28,147"
206,Please!,Ross,anger,28,2,15,17,9,23,"0:43:28,147","0:43:28,699"
207,Aren't we a little old for this?,Ross,anger,28,3,15,18,9,23,"0:43:28,699","0:43:30,985"
208,"I mean, we're scientists, right?",Ross,neutral,28,4,15,19,9,23,"0:43:31,066","0:43:32,788"
209,We're academics.,Ross,anger,28,5,15,20,9,23,"0:43:32,788","0:43:33,798"
210,And most importantly I... you-you will have to catch us first.,Ross,joy,28,6,15,21,9,23,"00:43:33,902","00:43:37,780"
211,"GO, GO, GO!",Ross,joy,28,7,15,22,9,23,"00:43:37,948","00:43:40,366"
212,"Go, go, go!",Ross,joy,29,0,16,0,3,25,"00:04:41,197","00:04:42,239"
213,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,29,1,16,1,3,25,"00:04:42,407","00:04:44,574"
214,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,30,0,16,1,3,25,"00:04:42,407","00:04:44,574"
215,Oy!!,Phoebe,disgust,30,1,16,2,3,25,"00:04:49,455","00:04:50,747"
216,Oy!!,Phoebe,disgust,31,0,16,2,3,25,"00:04:49,455","00:04:50,747"
217,What’s with all this sand?,Monica,surprise,31,1,16,3,3,25,"00:04:52,333","00:04:54,001"
218,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,31,2,16,4,3,25,"00:04:54,168","00:04:56,795"
219,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,32,0,16,4,3,25,"00:04:54,168","00:04:56,795"
220,"Yeah, either that, or he has a really big cat.",Ross,neutral,32,1,16,5,3,25,"00:04:57,005","00:04:59,214"
221,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,33,0,17,0,5,19,"00:06:15,416","00:06:19,127"
222,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,33,1,17,1,5,19,"00:06:21,506","00:06:25,542"
223,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,33,2,17,2,5,19,"00:06:25,551","00:06:29,012"
224,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,34,0,17,2,5,19,"00:06:25,551","00:06:29,012"
225,Rach? What are you doing?,Monica,neutral,34,1,17,3,5,19,"00:06:32,183","00:06:33,517"
226,Rach? What are you doing?,Monica,neutral,35,0,17,3,5,19,"00:06:32,183","00:06:33,517"
227,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,35,1,17,4,5,19,"00:06:33,976","00:06:37,020"
228,It's a diaper commercial.,Monica,neutral,35,2,17,5,5,19,"00:06:37,480","00:06:39,731"
229,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,35,3,17,6,5,19,"00:06:40,817","00:06:43,735"
230,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,36,0,17,6,5,19,"00:06:40,817","00:06:43,735"
231,Pizza delivery!,Caitlin,joy,36,1,17,7,5,19,"0:06:47,281","0:06:49,793"
232,Pizza delivery!,Caitlin,joy,37,0,17,7,5,19,"0:06:47,281","0:06:49,793"
233,I'll get it! I will get that!,Ross,joy,37,1,17,8,5,19,"0:06:49,793","0:06:50,887"
234,Hi!,Caitlin,joy,37,2,17,9,5,19,"0:06:53,538","0:06:54,665"
235,Hi!,Ross,joy,37,3,17,10,5,19,"0:06:54,665","0:06:54,803"
236,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,38,0,18,0,5,21,"00:05:05,096","00:05:09,474"
237,"Uhh, the ball thing.",Joey,neutral,38,1,18,1,5,21,"0:05:09,642","0:05:11,603"
238,Yeah?,Ross,neutral,38,2,18,2,5,21,"0:05:11,603","0:05:12,542"
239,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,38,3,18,3,5,21,"00:05:14,022","00:05:19,109"
240,"Uhh,",Ross,neutral,38,4,18,4,5,21,"00:05:19,277","00:05:22,279"
241,Okay!,Joey,joy,38,5,18,5,5,21,"00:05:23,489","00:05:24,990"
242,Uh-oh.,Joey,fear,38,6,18,6,5,21,"0:05:28,578","0:05:29,670"
243,What?,Ross,neutral,38,7,18,7,5,21,"0:05:29,670","0:05:30,222"
244,I have to pee. And Rachel's in the bathroom!,Joey,sadness,38,8,18,8,5,21,"00:05:30,330","00:05:34,166"
245,"Man, I didn't think we were gonna make it!",Joey,surprise,38,9,18,9,5,21,"00:05:39,047","00:05:41,548"
